Date,AAPL,MSFT,NVDA,TSLA,AMZN,HD,JPM,BAC,GS,XOM,CVX,COP,JNJ,UNH,PFE,WMT,PG,KO
2022-09-12,0.07216101376125847,0.058289730524146155,0.06449973600924847,0.11189057274929798,0.09087542629740669,0.09177964700707615,0.08137059864007593,0.05863483895239442,0.08323977499024256,0.053699756244525325,0.0535218792584266,0.0435409108820659,0.11120144067773077,0.16308048518868892,0.06934260052634132,0.07410699106874946,0.05245926475616645,0.05375274254333998
2022-09-13,0.0754784239291862,0.05628605095399296,0.07028970466935484,0.11367681073692629,0.09002321482100366,0.08707854668960335,0.08108909635760814,0.05982237365975825,0.08396992433830498,0.05390136314816717,0.05355616244735978,0.0436815867831544,0.11196040891470484,0.16263684725758382,0.06904094253219459,0.07476399476090531,0.055457013689849496,0.052725059713400975
2022-09-14,0.07476347723900317,0.05585168275868125,0.06859794765335209,0.11607370695055935,0.08828811465460551,0.08960749907618731,0.0809139133145114,0.06019789111490221,0.08275080557202878,0.05414721511436699,0.05183942369221499,0.04611282951395696,0.11197505325200557,0.16390013395602585,0.07248977159967039,0.07370199027988729,0.057234548959822794,0.053934750084298586
2022-09-15,0.07621811351595764,0.05524915289661151,0.06782159525864404,0.11262136953198058,0.08848509462744117,0.08902550680259955,0.08068636979640081,0.06102646253326702,0.0803954128609611,0.055064020785099324,0.05261733264063926,0.04527568611447794,0.10826223035534241,0.16338302012071435,0.07359340506098201,0.07413419048210414,0.05889914558642839,0.05429404266220116
2022-09-16,0.07669028784934306,0.05602082531999223,0.06328258346580434,0.11376546094338451,0.08799290290699531,0.08680723606572499,0.0766207250787163,0.05716785193871108,0.07678514763922949,0.055121719728944384,0.052209574973234085,0.047971703918933024,0.10826892607359788,0.15984196398188558,0.07481209432167607,0.0728392316776149,0.0585223325740602,0.053934318013562854
2022-09-19,0.07657234087365716,0.05673360108957685,0.06286066098675851,0.1154274779617242,0.08692642582353728,0.0889197129685002,0.07674336789744889,0.0581266164116018,0.07645554520627613,0.05563976527654709,0.05074854550740065,0.047814667489512644,0.10376900656597293,0.15874198120557625,0.07391322889075252,0.0762273077400789,0.058038472133752954,0.053703746460097734
2022-09-20,0.07517402762114574,0.056835720224074876,0.06228625671095259,0.11342619128833666,0.0881576912430777,0.08727011287875512,0.0785537363552093,0.058277148592352966,0.07771393332505079,0.05533617145861395,0.05072602691834776,0.047194404803973126,0.10189681182811634,0.16063607375621192,0.0734916972744934,0.07797670972854928,0.0595091822213071,0.05474685280358029
2022-09-21,0.07569561173063499,0.056530167186411864,0.06259716062747261,0.11585176557855616,0.08819332883329391,0.08581224927269326,0.0778707763353975,0.05854364941426784,0.07785122915803079,0.054959039733115486,0.049608754823404044,0.04723186361087498,0.09992479148499146,0.16242865824011335,0.07231890127574443,0.07767920131714429,0.05821899559965107,0.054088075364588754
2022-09-22,0.07481785623391624,0.056856577940270166,0.06090320726033966,0.11751397079981385,0.08834660418908151,0.08890331946298352,0.07808258705425046,0.05864788301427059,0.08105562602832728,0.05550076171831017,0.049571202030923085,0.04702134633480142,0.10263942870862135,0.16254442667395563,0.07228005562575933,0.07631995241560742,0.06124535049627633,0.05300081795190913
2022-09-23,0.07683155609923645,0.0593322830134063,0.06182871478355531,0.11603669403423324,0.0880323878895399,0.08832817904565268,0.07766126753498027,0.05932332526574953,0.07967765490792537,0.05558494478649563,0.04979540384672492,0.04637414304539043,0.09955379248897886,0.16417870650377367,0.07253314751331831,0.07645574767244807,0.061048264704673116,0.05423410851653064
2022-09-26,0.07791208540009642,0.058864069357647895,0.06087854517995583,0.1140462419573309,0.08735252003284746,0.09195999377296377,0.07760452409093858,0.05881809725707251,0.07481372247137401,0.055113677228048316,0.04793166352178878,0.04576500806322092,0.09782306488633438,0.16194953801289733,0.0735031924587967,0.07520076576368931,0.05870236887080801,0.05757758102462202
2022-09-27,0.08062161234154729,0.06091985034007556,0.060138755007487554,0.11639028343102849,0.08462838829299671,0.0894208190321009,0.0781082221734262,0.05899531238512991,0.07475084445731803,0.05485595970407088,0.04803570837014432,0.04680588823192534,0.09774782086909624,0.1603135269434098,0.07343966774533879,0.07420658346029808,0.05636637127643836,0.056680361909305685
2022-09-28,0.08052837776141819,0.0602943079186121,0.060241738150689304,0.11660943104744094,0.08334772877668241,0.09203924248389138,0.08008692973142162,0.060700752275091086,0.07562866990096449,0.054680672724971346,0.04616772043973832,0.04635833584466922,0.09413885216543345,0.15575561355320466,0.06989615381916209,0.07347539686114656,0.055391556502515975,0.05630692087332728
2022-09-29,0.0759854904305586,0.06011772845348327,0.05963079922870723,0.11531981690999907,0.08370385858100025,0.09255713732460179,0.0813042447028258,0.06167987796734888,0.07663522009000316,0.053576996390781395,0.047330243710502054,0.04729826278833531,0.09048320832793755,0.15608922852390938,0.06517615810908717,0.07276804842845438,0.053955581603867916,0.05733032724905548
2022-09-30,0.07475850720603751,0.06100053585979588,0.06043049588897777,0.11477416545617423,0.08562826748248717,0.09560159455681003,0.08062030385572415,0.061375422321887654,0.07707311529080615,0.053696085242566985,0.04814537119568361,0.04724402893162803,0.08948939342220308,0.15433271369812981,0.06487758445874807,0.06939115460322126,0.05347215794255886,0.05638637916689846
2022-10-03,0.07488659305635786,0.06068608618412862,0.05794563026981775,0.1128558898295535,0.08338205701741172,0.0971252011491092,0.08046517798429974,0.060880052223418864,0.07604772676033307,0.054381782193463686,0.04861203782364304,0.04626013840185253,0.09100487470981813,0.15640833289555217,0.06298639200270369,0.06723450577908065,0.053362262656548046,0.056414199727519966
2022-10-04,0.07573902852384566,0.06148861583524239,0.05500489274462481,0.10638539735484412,0.07812384464453333,0.09473765233377543,0.08089551143304492,0.05958585596444723,0.07300195529509841,0.05397909224515581,0.04959143117057629,0.04624809253080112,0.09505598928464049,0.15773854034643456,0.06228261074126412,0.0661308143568493,0.05378642671326185,0.05928979649222562
2022-10-05,0.07503680703040178,0.06115634396845477,0.054549302263308466,0.10515047777526393,0.08179692809433513,0.09576157967751674,0.0828844953376996,0.061783458591066744,0.0735176269374531,0.054126573385776665,0.05022034119824403,0.04606620627900929,0.09241679910703379,0.15765953891971612,0.05960105701588295,0.0678007881104179,0.05426647280118533,0.06104423701851932
2022-10-06,0.07450001733696035,0.061566388403328225,0.05412590817523442,0.10351422828186832,0.08266908561184638,0.09750975892860042,0.08220469286130114,0.06320068730169567,0.07282538885103439,0.05250086906905285,0.049757568406790874,0.04717095155328774,0.09196917912611884,0.1578362905229218,0.05973362757278622,0.06856296153245428,0.05457585657342529,0.061181403851860196
2022-10-07,0.0753117411469524,0.061732554119563327,0.0542169601166126,0.10390592151642376,0.08423593410678078,0.09938149768478811,0.08227145975008386,0.06252579225302665,0.07295920607651979,0.052617892078964286,0.04957978010682249,0.04787231041353825,0.09199226020964008,0.15740212862725375,0.05832120527596779,0.06709147701015739,0.05506187615712143,0.06023165364762263
2022-10-10,0.07546321719992893,0.06145954359835464,0.054400431758258774,0.10148767950824848,0.0823558400663568,0.1009297247786868,0.08262583796807665,0.061492230660221824,0.07528745330307328,0.05312039715030869,0.04969613216563661,0.04690385078682219,0.09271892633957353,0.15742583586082293,0.05975698627268898,0.06811330650731946,0.055413047830628906,0.06095275739373846
2022-10-11,0.07897263823998357,0.05969215798263612,0.05505344549491924,0.10293263850829669,0.08235099948384207,0.10184764822840814,0.08265496970746307,0.06142600142571115,0.0754361430293481,0.05200322328942115,0.049056104476835095,0.04688693709811275,0.09097437185257441,0.15493114820545653,0.06051143232835784,0.06880258695487265,0.0547941747905296,0.05703433566898512
2022-10-12,0.07773429909144877,0.05781937114071808,0.05489755503308179,0.09952442663290177,0.08263854701563234,0.10181769929497789,0.08272581152214785,0.05952512557553696,0.07502510784271782,0.052148930303303566,0.048187218309978325,0.04731954418521779,0.08858780288995065,0.15435512909684454,0.06106332706044232,0.06544953499834533,0.053407645984034635,0.05555210713401659
2022-10-13,0.07860271517470564,0.05770521718973136,0.054671815712023744,0.09965604960256487,0.08021107028276087,0.09968451609872157,0.07877183927465449,0.058815188367420425,0.07496809847844599,0.05219433300919348,0.04818845424856467,0.04747520161850756,0.0912151044626485,0.15446179962300438,0.06073089824225101,0.0675771793505664,0.05175384433662949,0.05338832958294829
2022-10-14,0.08039567616678253,0.057913217930521184,0.054608073441607105,0.09961692425739911,0.08302924442392105,0.10038522092631677,0.0793703207933247,0.059484939855107354,0.07480748496420263,0.05272176352797891,0.050642504089126135,0.04746314487537049,0.09355739592006561,0.1557988786728373,0.05952574462818496,0.06820525595593303,0.05349474907654516,0.05537336565883731
2022-10-17,0.07996430463256515,0.05828777210979561,0.05425320581546035,0.09816308474096082,0.0807221945377855,0.10232316168145625,0.0732177207901421,0.05617495064390075,0.07192531507167424,0.053668443137080864,0.0506230695404849,0.04709561553674878,0.09252163031646651,0.1577022112603108,0.0602997973803184,0.06772965413176046,0.051822617626562636,0.053314606633120196
