Date,AAPL,AMZN,BAC,COP,CVX,DIA,GS,HD,JNJ,JPM,KO,MSFT,NVDA,PFE,PG,QQQ,SPY,TSLA,UNH,WMT,XLE,XLF,XLK,XLP,XLV,XLY,XOM
2026-02-10,273.19244384765625,206.9600067138672,54.79393768310547,105.18144989013672,177.30874633789062,497.7951354980469,939.879638671875,384.210205078125,235.73388671875,315.2392883300781,75.79609680175781,410.6646728515625,188.31031799316406,26.694656372070312,156.7211456298828,610.029541015625,688.4613037109375,425.2099914550781,269.5726623535156,125.89826202392578,52.85104751586914,53.09016799926758,142.20343017578125,86.06503295898438,154.0148162841797,117.85792541503906,148.6088104248047
2026-02-11,275.00921630859375,204.0800018310547,53.270503997802734,108.81143188476562,180.77203369140625,497.2298278808594,935.5218505859375,385.1961975097656,238.21633911132812,307.8505554199219,77.56246948242188,401.8207702636719,189.81849670410156,26.81067657470703,157.62750244140625,611.6657104492188,688.3021850585938,428.2699890136719,275.1866760253906,127.95516204833984,54.231998443603516,52.28712463378906,142.62240600585938,87.29946899414062,154.92701721191406,117.29019165039062,152.500732421875
2026-02-12,261.2637634277344,199.60000610351562,51.95481872558594,108.43963623046875,177.44496154785156,490.624267578125,895.8662719726562,384.74267578125,241.8658447265625,299.7487487792969,77.95719146728516,399.30670166015625,186.7122802734375,26.559295654296875,158.81956481933594,599.22509765625,677.668701171875,417.07000732421875,280.57379150390625,132.79434204101562,53.24560546875,51.24613952636719,138.87155151367188,88.0993881225586,154.67913818359375,115.66669464111328,147.9611358642578
2026-02-13,255.32435607910156,198.7899932861328,51.9844970703125,109.02669525146484,178.74855041503906,491.2292785644531,896.4506225585938,385.56097412109375,240.7779083251953,299.6595764160156,77.64141845703125,398.7900085449219,182.58729553222656,26.665651321411133,157.6964874267578,600.5020141601562,678.1461181640625,417.44000244140625,289.2760314941406,133.0427703857422,53.61056900024414,51.20648193359375,139.22068786621094,88.3956527709961,156.33499145507812,115.71649932861328,146.50057983398438
2026-02-17,263.4099426269531,201.14999389648438,52.172454833984375,106.43384552001953,177.36343383789062,491.79461669921875,907.2459106445312,377.6634521484375,240.6592254638672,304.1958312988281,78.50979614257812,394.3581237792969,184.7446746826172,26.462614059448242,157.18417358398438,599.8834838867188,679.2402954101562,410.6300048828125,285.23077392578125,128.03466796875,53.018733978271484,51.75176239013672,139.14088439941406,87.10195922851562,156.03753662109375,115.57705688476562,144.270263671875
2026-02-18,263.8791198730469,204.7899932861328,52.78578186035156,108.97783660888672,180.6248321533203,492.9352111816406,924.76611328125,378.1366882324219,242.30101013183594,305.8300476074219,78.44071960449219,397.08087158203125,187.75099182128906,26.462614059448242,154.53407287597656,604.3629760742188,682.662109375,411.32000732421875,284.3526916503906,125.81877899169922,54.03471755981445,52.13841247558594,140.56741333007812,86.9439468383789,156.33499145507812,116.55313873291016,148.7012939453125
2026-02-19,260.11578369140625,204.86000061035156,52.20213317871094,110.03291320800781,181.51876831054688,490.3367004394531,907.85009765625,373.2660217285156,244.19992065429688,305.10699462890625,77.86837768554688,396.8517761230469,187.6710968017578,25.969520568847656,156.20884704589844,602.04833984375,680.8616333007812,411.7099914550781,286.0595703125,124.07984924316406,54.42927932739258,51.70219039916992,139.86911010742188,86.57855987548828,155.928466796875,115.77625274658203,148.98748779296875
2026-02-20,264.1086730957031,210.11000061035156,52.489009857177734,108.98770904541016,180.6837615966797,492.6335754394531,913.3864135742188,376.884521484375,239.8284454345703,307.82086181640625,78.78610229492188,395.6267395019531,189.58877563476562,25.766483306884766,158.39593505859375,607.3757934570312,685.7855834960938,411.82000732421875,286.1286315917969,122.21173858642578,54.13336181640625,52.03927230834961,140.53749084472656,86.79581451416016,155.49220275878906,116.98143005371094,145.345947265625
2026-02-23,265.705810546875,205.27000427246094,50.520423889160156,108.34677124023438,181.64649963378906,484.6196594238281,883.7437744140625,371.6983642578125,243.14166259765625,294.8262023925781,79.49659729003906,382.918212890625,191.316650390625,26.16288948059082,162.72085571289062,599.9932250976562,678.7827758789062,399.8299865722656,278.5708923339844,125.01390075683594,54.399688720703125,50.29438400268555,138.1832275390625,87.86237335205078,157.1976318359375,114.53124237060547,148.78024291992188
2026-02-24,271.6552429199219,208.55999755859375,49.867523193359375,109.04686737060547,182.0688934326172,488.3734436035156,893.608154296875,379.083251953125,244.87173461914062,294.459716796875,79.65449523925781,387.4299621582031,192.61508178710938,26.240238189697266,162.8292236328125,606.4380493164062,683.7164916992188,409.3800048828125,270.29290771484375,125.94794464111328,54.35036849975586,50.542236328125,139.97885131835938,88.62278747558594,156.53330993652344,116.27426147460938,147.29994201660156
