Date,AAPL,DIA,JNJ,JPM,QQQ,SPY,TSLA,WMT,XOM
2021-02-19,126.61116790771484,288.8426818847656,141.39959716796875,130.35037231445312,321.23114013671875,364.0837097167969,260.4333190917969,43.0838623046875,43.529422760009766
2021-02-22,122.83826446533203,289.1087341308594,141.3123321533203,131.57443237304688,312.90478515625,361.2832946777344,238.1666717529297,42.881431579589844,45.13361740112305
2021-02-23,122.7017822265625,289.2738952636719,140.06394958496094,132.6311798095703,311.9732360839844,361.7220764160156,232.94667053222656,42.19004821777344,45.75700759887695
2021-02-24,122.20458221435547,293.0710144042969,141.94088745117188,134.96485900878906,314.544921875,365.7080383300781,247.33999633789062,41.486209869384766,47.12847137451172
2021-02-25,117.9539794921875,287.9805603027344,142.08929443359375,133.1331329345703,303.5789794921875,356.8959655761719,227.4066619873047,41.09379577636719,46.34714126586914
2021-02-26,118.21720123291016,283.8256530761719,138.33541870117188,129.60182189941406,304.85028076171875,355.0569763183594,225.1666717529297,40.46159362792969,45.19178771972656
2021-03-01,124.58333587646484,289.4573974609375,139.08615112304688,132.53427124023438,314.0208740234375,363.66375732421875,239.47666931152344,40.91316604614258,46.87910842895508
2021-03-02,121.98035430908203,288.1732482910156,138.8242950439453,132.10281372070312,308.9842529296875,360.825927734375,228.81333923339844,40.5207633972168,46.60481643676758
2021-03-03,118.99713897705078,287.072509765625,136.37989807128906,134.6566162109375,300.01751708984375,356.046630859375,217.73333740234375,39.73594284057617,46.978851318359375
2021-03-04,117.1155776977539,283.94482421875,133.62991333007812,132.58714294433594,295.1072082519531,351.6405029296875,207.14666748046875,39.717262268066406,48.79915237426758
2021-03-05,118.3731918334961,289.13623046875,136.275146484375,132.89537048339844,299.5516662597656,358.1094970703125,199.31666564941406,40.21244812011719,50.6443977355957
2021-03-08,113.440185546875,291.8969421386719,137.4099884033203,134.6566162109375,291.07025146484375,356.3266296386719,187.6666717529297,39.82625961303711,50.59452438354492
2021-03-09,118.05146026611328,292.2271728515625,137.6719512939453,133.7055206298828,302.55035400390625,361.4140930175781,224.52667236328125,40.14080810546875,49.81320571899414
2021-03-10,116.9693374633789,296.5563659667969,138.93775939941406,136.6116180419922,301.68670654296875,363.66375732421875,222.68666076660156,41.16543197631836,51.34260177612305
2021-03-11,118.89964294433594,298.3907165527344,138.9290313720703,135.8983154296875,308.6349182128906,367.3509216308594,233.1999969482422,41.14984893798828,50.96025466918945
2021-03-12,117.99299621582031,301.1240234375,139.33059692382812,137.50982666015625,306.1312255859375,367.8456726074219,231.2433319091797,41.76961135864258,51.50883102416992
2021-03-15,120.87870788574219,302.7567443847656,140.04649353027344,136.82296752929688,309.4016418457031,370.0393371582031,235.97999572753906,41.55472946166992,50.195560455322266
2021-03-16,122.41907501220703,301.62847900390625,140.87582397460938,135.18496704101562,311.0998229980469,369.5726318359375,225.6266632080078,41.54227066040039,49.13163757324219
2021-03-17,121.62940216064453,303.3802490234375,140.35202026367188,136.57635498046875,312.38079833984375,370.8328552246094,233.93666076660156,41.19657897949219,49.347747802734375
2021-03-18,117.50553894042969,302.0870361328125,140.0901641845703,138.83079528808594,302.8123779296875,365.4373474121094,217.72000122070312,40.65867233276367,47.21989440917969
2021-03-19,116.97907257080078,299.6249694824219,139.71473693847656,136.62042236328125,303.8799133300781,364.76116943359375,218.2899932861328,41.19969940185547,46.95391845703125
2021-03-22,120.29376220703125,300.7552185058594,140.11631774902344,132.94821166992188,309.57867431640625,367.6737060546875,223.3333282470703,41.396724700927734,46.47182846069336
